row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1855,| FOX SPORTS PREMIUM MX |,FOX SPORTS MX,DEPORTES PREMIUM,,False,,,95,review_required
1856,| BEIN SPORTS Ñ |,BEIN SPORTS N,DEPORTES PREMIUM,,False,,,95,review_required
1857,BEIN SPORTS XTRA Ñ,BEIN SPORTS XTRA N,DEPORTES PREMIUM,,False,,,90,review_required
1858,| TUDN MX | HD |,TUDN MX,DEPORTES PREMIUM,,False,,,90,review_required
1859,TUDN MX FHD,TUDN MX,DEPORTES PREMIUM,,False,,,90,review_required
1860,| TUDN USA | HD |,TUDN USA,DEPORTES PREMIUM,us,False,,,83,review_required
1861,| TUDN USA | FHD |,TUDN USA,DEPORTES PREMIUM,us,False,,,83,review_required
1862,| TUDNxtra 1 |,TUDNXTRA 1,DEPORTES PREMIUM,,False,,,0,no_candidate
1863,| TUDNxtra 2 |,TUDNXTRA 2,DEPORTES PREMIUM,,False,,,0,no_candidate
1864,| TUDNxtra 3 |,TUDNXTRA 3,DEPORTES PREMIUM,,False,,,0,no_candidate
